district,code,endorsedtrump,party,demp,repp,demc,repc,year,white,black,latino,asianandpacificislander,native,highschoolorgreater,bachelorsdegreeorhigher,medianincome
Alaska's At-Large,AK-AL,Endorsed Trump,Republican,36,50.299999,111019,155088,2016,67.400002,3,5.5,5.3000002,13.1,92.400002,29,76114
Alaska's At-Large,AK-AL,Endorsed Trump,Republican,41,51,114596,142566,2014,67.400002,3,5.5,5.3000002,13.1,92.400002,29,76114
Alaska's At-Large,AK-AL,Endorsed Trump,Republican,46.5,53.099998,131199,149779,2018,67.400002,3,5.5,5.3000002,13.1,92.400002,29,76114
Alabama's 1st,AL-01,Republican,Republican,0,96.400002,0,208083,2016,68.400002,26.4,2.0999999,1,1,87,24,46449
Alabama's 1st,AL-01,Republican,Republican,36.8,63.200001,89226,153228,2018,68.400002,26.4,2.0999999,1,1,87,24,46449
Alabama's 1st,AL-01,Republican,Republican,31.7,68.199997,48278,103758,2014,68.400002,26.4,2.0999999,1,1,87,24,46449
Alabama's 2nd,AL-02,Republican,Republican,38.4,61.400002,86931,138879,2018,65.699997,30.200001,1.9,0.60000002,0.40000001,84.099998,22.1,44765
Alabama's 2nd,AL-02,Republican,Republican,32.6,67.300003,54692,113103,2014,65.699997,30.200001,1.9,0.60000002,0.40000001,84.099998,22.1,44765
Alabama's 2nd,AL-02,Republican,Republican,40.5,48.799999,112089,134886,2016,65.699997,30.200001,1.9,0.60000002,0.40000001,84.099998,22.1,44765
Alabama's 3rd,AL-03,Endorsed Trump,Republican,32.9,66.900002,94549,192164,2016,71,25.200001,1.7,0.80000001,0.30000001,84,21.5,44725
Alabama's 3rd,AL-03,Endorsed Trump,Republican,33.7,66.099998,52816,103558,2014,71,25.200001,1.7,0.80000001,0.30000001,84,21.5,44725
Alabama's 3rd,AL-03,Endorsed Trump,Republican,36.2,63.700001,83996,147770,2018,71,25.200001,1.7,0.80000001,0.30000001,84,21.5,44725
Alabama's 4th,AL-04,Endorsed Trump,Republican,0,98.599998,0,132831,2014,88.699997,7,1.9,0.40000001,0.69999999,80.900002,16.9,41822
Alabama's 4th,AL-04,Endorsed Trump,Republican,20.1,79.800003,46492,184255,2018,88.699997,7,1.9,0.40000001,0.69999999,80.900002,16.9,41822
Alabama's 4th,AL-04,Endorsed Trump,Republican,0,98.5,0,235925,2016,88.699997,7,1.9,0.40000001,0.69999999,80.900002,16.9,41822
Alabama's 5th,AL-05,Republican,Republican,38.9,61,101388,159063,2018,76.900002,17.200001,2.3,1.3,0.69999999,87.099998,30.799999,52874
Alabama's 5th,AL-05,Republican,Republican,33.2,66.699997,102234,205647,2016,76.900002,17.200001,2.3,1.3,0.69999999,87.099998,30.799999,52874
Alabama's 5th,AL-05,Republican,Republican,0,74.400002,0,115338,2014,76.900002,17.200001,2.3,1.3,0.69999999,87.099998,30.799999,52874
Alabama's 6th,AL-06,Endorsed Trump,Republican,25.4,74.5,83709,245313,2016,81.400002,14.6,1.7,1,0.30000001,90,36,63009
Alabama's 6th,AL-06,Endorsed Trump,Republican,23.7,76.199997,42291,135945,2014,81.400002,14.6,1.7,1,0.30000001,90,36,63009
Alabama's 6th,AL-06,Endorsed Trump,Republican,30.8,69.199997,85644,192542,2018,81.400002,14.6,1.7,1,0.30000001,90,36,63009
Alabama's 7th,AL-07,Democrat,Democratic,97.8,0,185010,0,2018,35.299999,62.400002,1.1,0.40000001,0.1,83.900002,19.6,35059
Alabama's 7th,AL-07,Democrat,Democratic,98.4,0,229330,0,2016,35.299999,62.400002,1.1,0.40000001,0.1,83.900002,19.6,35059
Alabama's 7th,AL-07,Democrat,Democratic,98.4,0,133687,0,2014,35.299999,62.400002,1.1,0.40000001,0.1,83.900002,19.6,35059
Arkansas' 1st,AR-01,Endorsed Trump,Republican,28.8,68.900002,57907,138757,2018,79.400002,16.799999,1.8,0.30000001,0.40000001,83.400002,16,39864
Arkansas' 1st,AR-01,Endorsed Trump,Republican,0,76.300003,0,183866,2016,79.400002,16.799999,1.8,0.30000001,0.40000001,83.400002,16,39864
Arkansas' 1st,AR-01,Endorsed Trump,Republican,32.4,63.299999,63555,124139,2014,79.400002,16.799999,1.8,0.30000001,0.40000001,83.400002,16,39864
Arkansas' 2nd,AR-02,Endorsed Trump,Republican,45.8,52.099998,116135,132125,2018,73.300003,21.4,2.4000001,1,0.30000001,89.5,29.200001,49526
Arkansas' 2nd,AR-02,Endorsed Trump,Republican,36.8,58.299999,111347,176472,2016,73.300003,21.4,2.4000001,1,0.30000001,89.5,29.200001,49526
Arkansas' 2nd,AR-02,Endorsed Trump,Republican,43.6,51.900002,103477,123073,2014,73.300003,21.4,2.4000001,1,0.30000001,89.5,29.200001,49526
Arkansas' 3rd,AR-03,Endorsed Trump,Republican,32.6,64.699997,74952,148717,2018,85.699997,2.9000001,6.1999998,1.9,1.2,85.199997,26.5,48058
Arkansas' 3rd,AR-03,Endorsed Trump,Republican,0,79.400002,0,151630,2014,85.699997,2.9000001,6.1999998,1.9,1.2,85.199997,26.5,48058
Arkansas' 3rd,AR-03,Endorsed Trump,Republican,0,77.300003,0,217192,2016,85.699997,2.9000001,6.1999998,1.9,1.2,85.199997,26.5,48058
Arkansas' 4th,AR-04,Endorsed Trump,Republican,42.6,53.700001,87742,110789,2014,76.300003,19,2.4000001,0.40000001,0.69999999,84.199997,16.1,39248
Arkansas' 4th,AR-04,Endorsed Trump,Republican,31.2,66.699997,63984,136740,2018,76.300003,19,2.4000001,0.40000001,0.69999999,84.199997,16.1,39248
Arkansas' 4th,AR-04,Endorsed Trump,Republican,0,74.900002,0,182885,2016,76.300003,19,2.4000001,0.40000001,0.69999999,84.199997,16.1,39248
Arizona's 1st,AZ-01,Democrat,Democratic,50.7,43.400002,142219,121745,2016,55.400002,2.2,17.799999,1.3,21.6,85.900002,24.1,50317
Arizona's 1st,AZ-01,Democrat,Democratic,52.6,47.400002,97391,87723,2014,55.400002,2.2,17.799999,1.3,21.6,85.900002,24.1,50317
Arizona's 1st,AZ-01,Democrat,Democratic,53.8,46.099998,143240,122784,2018,55.400002,2.2,17.799999,1.3,21.6,85.900002,24.1,50317
Arizona's 2nd,AZ-02,Republican,Republican,43,57,135873,179806,2016,69,3.5999999,21.9,2.5999999,1,90.699997,33.900002,50270
Arizona's 2nd,AZ-02,Republican,Republican,49.9,50,109543,109704,2014,69,3.5999999,21.9,2.5999999,1,90.699997,33.900002,50270
Arizona's 2nd,AZ-02,Democrat,Democratic,54.7,45.200001,161000,133083,2018,69,3.5999999,21.9,2.5999999,1,90.699997,33.900002,50270
Arizona's 3rd,AZ-03,Democrat,Democratic,63.9,36.099998,114650,64868,2018,37.200001,5,51.400002,1.7,3.5,75.800003,16,44332
Arizona's 3rd,AZ-03,Democrat,Democratic,55.7,44.200001,58192,46185,2014,37.200001,5,51.400002,1.7,3.5,75.800003,16,44332
Arizona's 3rd,AZ-03,Democrat,Democratic,88.1,0,148973,0,2016,37.200001,5,51.400002,1.7,3.5,75.800003,16,44332
Arizona's 4th,AZ-04,Endorsed Trump,Republican,30.5,68.199997,84521,188842,2018,80.699997,1.7,13.4,1.2,1.5,87,18.799999,47671
Arizona's 4th,AZ-04,Endorsed Trump,Republican,28.5,71.5,81296,203487,2016,80.699997,1.7,13.4,1.2,1.5,87,18.799999,47671
Arizona's 4th,AZ-04,Endorsed Trump,Republican,25.8,70,45179,122560,2014,80.699997,1.7,13.4,1.2,1.5,87,18.799999,47671
Arizona's 5th,AZ-05,Republican,Republican,35.9,64.099998,114940,205184,2016,77.400002,2.9000001,13.6,3.5999999,0.89999998,92.900002,35.299999,70934
Arizona's 5th,AZ-05,Republican,Republican,30.4,69.599998,54596,124867,2014,77.400002,2.9000001,13.6,3.5999999,0.89999998,92.900002,35.299999,70934
Arizona's 5th,AZ-05,Republican,Republican,40.6,59.400002,127027,186037,2018,77.400002,2.9000001,13.6,3.5999999,0.89999998,92.900002,35.299999,70934
Arizona's 6th,AZ-06,Endorsed Trump,Republican,44.8,55.200001,140559,173140,2018,81,2.4000001,10.8,2.8,1.4,92.5,43.400002,67405
Arizona's 6th,AZ-06,Endorsed Trump,Republican,37.9,62.099998,122866,201578,2016,81,2.4000001,10.8,2.8,1.4,92.5,43.400002,67405
Arizona's 6th,AZ-06,Endorsed Trump,Republican,35.1,64.900002,70198,129578,2014,81,2.4000001,10.8,2.8,1.4,92.5,43.400002,67405
Arizona's 7th,AZ-07,Democrat,Democratic,75.2,24.700001,119465,39286,2016,32.400002,12.3,48.200001,2.5999999,2.9000001,68,13.9,39005
Arizona's 7th,AZ-07,Democrat,Democratic,74.9,0,54235,0,2014,32.400002,12.3,48.200001,2.5999999,2.9000001,68,13.9,39005
Arizona's 7th,AZ-07,Democrat,Democratic,85.6,0,113044,0,2018,32.400002,12.3,48.200001,2.5999999,2.9000001,68,13.9,39005
Arizona's 8th,AZ-08,Endorsed Trump,Republican,44.5,55.5,135569,168835,2018,75.699997,4.0999999,15,2.9000001,0.69999999,92,29.1,63062
Arizona's 8th,AZ-08,Endorsed Trump,Republican,0,75.800003,0,128710,2014,75.699997,4.0999999,15,2.9000001,0.69999999,92,29.1,63062
Arizona's 8th,AZ-08,Endorsed Trump,Republican,0,68.5,0,204942,2016,75.699997,4.0999999,15,2.9000001,0.69999999,92,29.1,63062
Arizona's 9th,AZ-09,Democrat,Democratic,61.1,38.900002,159583,101662,2018,67.199997,5.5999999,19.1,3.5999999,2.5,89.300003,37.700001,54210
Arizona's 9th,AZ-09,Democrat,Democratic,60.9,39,169055,108350,2016,67.199997,5.5999999,19.1,3.5999999,2.5,89.300003,37.700001,54210
Arizona's 9th,AZ-09,Democrat,Democratic,54.7,41.900002,88609,67841,2014,67.199997,5.5999999,19.1,3.5999999,2.5,89.300003,37.700001,54210
California's 1st,CA-01,Endorsed Trump,Republican,45.1,54.900002,131548,160046,2018,82.300003,1.6,9.6000004,2.2,1.5,89.599998,24,48524
California's 1st,CA-01,Endorsed Trump,Republican,40.9,59.099998,128588,185448,2016,82.300003,1.6,9.6000004,2.2,1.5,89.599998,24,48524
California's 1st,CA-01,Endorsed Trump,Republican,39,61,84320,132052,2014,82.300003,1.6,9.6000004,2.2,1.5,89.599998,24,48524
California's 2nd,CA-02,Democrat,Democratic,77,23,243081,72576,2018,80.199997,1.5,10.1,3.5,1.8,90.5,40.700001,68709
California's 2nd,CA-02,Democrat,Democratic,75,25,163124,54400,2014,80.199997,1.5,10.1,3.5,1.8,90.5,40.700001,68709
California's 2nd,CA-02,Democrat,Democratic,76.9,23.1,254194,76572,2016,80.199997,1.5,10.1,3.5,1.8,90.5,40.700001,68709
California's 3rd,CA-03,Democrat,Democratic,58.1,41.900002,134875,97376,2018,57.799999,6.9000001,20.200001,10.7,0.80000001,83.699997,24.700001,61268
California's 3rd,CA-03,Democrat,Democratic,59.4,40.599998,152513,104453,2016,57.799999,6.9000001,20.200001,10.7,0.80000001,83.699997,24.700001,61268
California's 3rd,CA-03,Democrat,Democratic,52.7,47.299999,79224,71036,2014,57.799999,6.9000001,20.200001,10.7,0.80000001,83.699997,24.700001,61268
California's 4th,CA-04,Endorsed Trump,Republican,0,100,0,211134,2014,81.699997,1.3,9.6000004,4.1999998,0.80000001,93,32.700001,72371
California's 4th,CA-04,Endorsed Trump,Republican,37.3,62.700001,130845,220133,2016,81.699997,1.3,9.6000004,4.1999998,0.80000001,93,32.700001,72371
California's 4th,CA-04,Endorsed Trump,Republican,45.9,54.099998,156253,184401,2018,81.699997,1.3,9.6000004,4.1999998,0.80000001,93,32.700001,72371
California's 5th,CA-05,Democrat,Democratic,75.7,0,129613,0,2014,60.799999,6.6999998,17.4,11.2,0.5,87.099998,31,71526
California's 5th,CA-05,Democrat,Democratic,78.9,0,205860,0,2018,60.799999,6.6999998,17.4,11.2,0.5,87.099998,31,71526
California's 5th,CA-05,Democrat,Democratic,76.9,23.1,224526,67565,2016,60.799999,6.6999998,17.4,11.2,0.5,87.099998,31,71526
California's 6th,CA-06,Democrat,Democratic,72.7,27.299999,97008,36448,2014,45.5,13.8,20.5,15.9,0.5,84.099998,27.700001,51479
California's 6th,CA-06,Democrat,Democratic,100,0,201939,0,2018,45.5,13.8,20.5,15.9,0.5,84.099998,27.700001,51479
California's 6th,CA-06,Democrat,Democratic,75.4,24.6,177565,57848,2016,45.5,13.8,20.5,15.9,0.5,84.099998,27.700001,51479
California's 7th,CA-07,Democrat,Democratic,50.4,49.599998,92521,91066,2014,60.799999,7.5,13.5,14.2,0.40000001,90.099998,33,69964
California's 7th,CA-07,Democrat,Democratic,55,45,155016,126601,2018,60.799999,7.5,13.5,14.2,0.40000001,90.099998,33,69964
California's 7th,CA-07,Democrat,Democratic,51.2,48.799999,152133,145168,2016,60.799999,7.5,13.5,14.2,0.40000001,90.099998,33,69964
California's 8th,CA-08,Endorsed Trump,Republican,0,100,0,170785,2018,54.900002,7.6999998,31.299999,3.0999999,1,82.800003,16.4,50051
California's 8th,CA-08,Endorsed Trump,Republican,37.7,62.299999,83035,136972,2016,54.900002,7.6999998,31.299999,3.0999999,1,82.800003,16.4,50051
California's 8th,CA-08,Endorsed Trump,Republican,32.4,67.599998,37056,77480,2014,54.900002,7.6999998,31.299999,3.0999999,1,82.800003,16.4,50051
California's 9th,CA-09,Democrat,Democratic,56.5,43.5,113414,87349,2018,45,9.8000002,27.700001,14,0.30000001,80.199997,19.799999,60717
California's 9th,CA-09,Democrat,Democratic,52.4,47.599998,63475,57729,2014,45,9.8000002,27.700001,14,0.30000001,80.199997,19.799999,60717
California's 9th,CA-09,Democrat,Democratic,57.4,42.599998,133163,98992,2016,45,9.8000002,27.700001,14,0.30000001,80.199997,19.799999,60717
California's 10th,CA-10,Endorsed Trump,Republican,48.3,51.700001,116470,124671,2016,54.400002,3.5999999,31.6,7.1999998,0.5,79.5,17.299999,59543
California's 10th,CA-10,Endorsed Trump,Democratic,52.3,47.700001,115945,105955,2018,54.400002,3.5999999,31.6,7.1999998,0.5,79.5,17.299999,59543
California's 10th,CA-10,Endorsed Trump,Republican,43.9,56.099998,55123,70582,2014,54.400002,3.5999999,31.6,7.1999998,0.5,79.5,17.299999,59543
California's 11th,CA-11,Democrat,Democratic,72.1,27.9,214868,83341,2016,56.599998,9.1000004,16.799999,13.6,0.2,88.099998,43,83343
California's 11th,CA-11,Democrat,Democratic,67.3,32.700001,117502,57160,2014,56.599998,9.1000004,16.799999,13.6,0.2,88.099998,43,83343
California's 11th,CA-11,Democrat,Democratic,74.1,25.9,204369,71312,2018,56.599998,9.1000004,16.799999,13.6,0.2,88.099998,43,83343
California's 12th,CA-12,Democrat,Democratic,80.9,0,274035,0,2016,48.700001,5.5999999,11.2,31.200001,0.2,88.199997,57.400002,97282
California's 12th,CA-12,Democrat,Democratic,86.8,13.2,275292,41780,2018,48.700001,5.5999999,11.2,31.200001,0.2,88.199997,57.400002,97282
California's 12th,CA-12,Democrat,Democratic,83.3,16.700001,160067,32197,2014,48.700001,5.5999999,11.2,31.200001,0.2,88.199997,57.400002,97282
California's 13th,CA-13,Democrat,Democratic,88.5,11.5,168491,21940,2014,41.900002,19.5,13.8,20.5,0.40000001,84.900002,46.799999,70222
California's 13th,CA-13,Democrat,Democratic,88.4,0,260580,0,2018,41.900002,19.5,13.8,20.5,0.40000001,84.900002,46.799999,70222
California's 13th,CA-13,Democrat,Democratic,90.8,9.1999998,293117,29754,2016,41.900002,19.5,13.8,20.5,0.40000001,84.900002,46.799999,70222
California's 14th,CA-14,Democrat,Democratic,79.2,20.799999,211384,55439,2018,42,3.5999999,17.700001,33.900002,0.1,88.400002,46.099998,101753
California's 14th,CA-14,Democrat,Democratic,80.9,19.1,231630,54817,2016,42,3.5999999,17.700001,33.900002,0.1,88.400002,46.099998,101753
California's 14th,CA-14,Democrat,Democratic,76.7,23.299999,114389,34757,2014,42,3.5999999,17.700001,33.900002,0.1,88.400002,46.099998,101753
California's 15th,CA-15,Democrat,Democratic,69.8,30.200001,99756,43148,2014,42.900002,6.8000002,17.5,29.4,0.30000001,89.699997,43.299999,103109
California's 15th,CA-15,Democrat,Democratic,73,27,177989,65940,2018,42.900002,6.8000002,17.5,29.4,0.30000001,89.699997,43.299999,103109
California's 15th,CA-15,Democrat,Democratic,73.8,26.200001,198578,70619,2016,42.900002,6.8000002,17.5,29.4,0.30000001,89.699997,43.299999,103109
California's 16th,CA-16,Democrat,Democratic,57.5,42.5,82266,60693,2018,33.900002,7.4000001,47,9.1999998,0.60000002,66.800003,12.3,40689
California's 16th,CA-16,Democrat,Democratic,50.7,49.299999,46277,44943,2014,33.900002,7.4000001,47,9.1999998,0.60000002,66.800003,12.3,40689
California's 16th,CA-16,Democrat,Democratic,58,42,97473,70483,2016,33.900002,7.4000001,47,9.1999998,0.60000002,66.800003,12.3,40689
California's 17th,CA-17,Democrat,Democratic,100,0,233192,0,2016,33.5,3.0999999,14.6,45.900002,0.2,91.199997,55.799999,115390
California's 17th,CA-17,Democrat,Democratic,75.3,24.700001,159105,52057,2018,33.5,3.0999999,14.6,45.900002,0.2,91.199997,55.799999,115390
California's 17th,CA-17,Democrat,Democratic,100,0,134408,0,2014,33.5,3.0999999,14.6,45.900002,0.2,91.199997,55.799999,115390
California's 18th,CA-18,Democrat,Democratic,71.1,28.9,230460,93470,2016,64.400002,2.0999999,11.7,18.799999,0.2,93.400002,61.799999,122124
California's 18th,CA-18,Democrat,Democratic,67.8,32.200001,133060,63326,2014,64.400002,2.0999999,11.7,18.799999,0.2,93.400002,61.799999,122124
California's 18th,CA-18,Democrat,Democratic,74.5,25.5,225142,77096,2018,64.400002,2.0999999,11.7,18.799999,0.2,93.400002,61.799999,122124
California's 19th,CA-19,Democrat,Democratic,73.8,26.200001,162496,57823,2018,33.599998,3.3,31,29.4,0.30000001,80.5,34.299999,91357
California's 19th,CA-19,Democrat,Democratic,73.9,26.1,181802,64061,2016,33.599998,3.3,31,29.4,0.30000001,80.5,34.299999,91357
California's 19th,CA-19,Democrat,Democratic,100,0,127788,0,2014,33.599998,3.3,31,29.4,0.30000001,80.5,34.299999,91357
California's 20th,CA-20,Democrat,Democratic,75.2,0,106034,0,2014,53.799999,2.5999999,34.5,6,0.30000001,75.599998,27.4,66078
California's 20th,CA-20,Democrat,Democratic,70.8,29.200001,180980,74811,2016,53.799999,2.5999999,34.5,6,0.30000001,75.599998,27.4,66078
California's 20th,CA-20,Democrat,Democratic,81.4,0,183677,0,2018,53.799999,2.5999999,34.5,6,0.30000001,75.599998,27.4,66078
California's 21st,CA-21,Democrat,Democratic,50.4,49.599998,57239,56377,2018,28,5.9000001,60,3.8,0.60000002,59.200001,8.1999998,40330
California's 21st,CA-21,Republican,Republican,42.2,57.799999,33470,45907,2014,28,5.9000001,60,3.8,0.60000002,59.200001,8.1999998,40330
California's 21st,CA-21,Republican,Republican,43.3,56.700001,57282,75126,2016,28,5.9000001,60,3.8,0.60000002,59.200001,8.1999998,40330
California's 22nd,CA-22,Republican,Republican,28,72,37289,96053,2014,50,3.3,37.099998,7.4000001,0.5,80.400002,24.200001,56097
California's 22nd,CA-22,Republican,Republican,32.4,67.599998,76211,158755,2016,50,3.3,37.099998,7.4000001,0.5,80.400002,24.200001,56097
California's 22nd,CA-22,Republican,Republican,47.3,52.700001,105136,117243,2018,50,3.3,37.099998,7.4000001,0.5,80.400002,24.200001,56097
California's 23rd,CA-23,Endorsed Trump,Republican,25.2,74.800003,33726,100317,2014,56.099998,6.5999999,29.700001,4.5,0.69999999,82.400002,20,57341
California's 23rd,CA-23,Endorsed Trump,Republican,30.8,69.199997,74468,167116,2016,56.099998,6.5999999,29.700001,4.5,0.69999999,82.400002,20,57341
California's 23rd,CA-23,Endorsed Trump,Republican,36.3,63.700001,74661,131113,2018,56.099998,6.5999999,29.700001,4.5,0.69999999,82.400002,20,57341
California's 24th,CA-24,Democrat,Democratic,51.9,48.099998,103228,95566,2014,67.400002,2.0999999,23.200001,4.5,0.5,84.699997,33.599998,67574
California's 24th,CA-24,Democrat,Democratic,53.4,46.599998,166034,144780,2016,67.400002,2.0999999,23.200001,4.5,0.5,84.699997,33.599998,67574
California's 24th,CA-24,Democrat,Democratic,58.6,41.400002,166550,117881,2018,67.400002,2.0999999,23.200001,4.5,0.5,84.699997,33.599998,67574
California's 25th,CA-25,Democrat,Democratic,54.4,45.599998,133209,111813,2018,51,8.3000002,30,7.9000001,0.40000001,85.199997,27.299999,75860
California's 25th,CA-25,Republican,Republican,46.9,53.099998,122406,138755,2016,51,8.3000002,30,7.9000001,0.40000001,85.199997,27.299999,75860
California's 25th,CA-25,Republican,Republican,0,100,0,114072,2014,51,8.3000002,30,7.9000001,0.40000001,85.199997,27.299999,75860
California's 26th,CA-26,Democrat,Democratic,51.3,48.700001,87176,82653,2014,56.099998,2.0999999,32.799999,6.6999998,0.40000001,82.699997,32.799999,80281
California's 26th,CA-26,Democrat,Democratic,61.9,38.099998,158216,97210,2018,56.099998,2.0999999,32.799999,6.6999998,0.40000001,82.699997,32.799999,80281
California's 26th,CA-26,Democrat,Democratic,60.4,39.599998,169248,111059,2016,56.099998,2.0999999,32.799999,6.6999998,0.40000001,82.699997,32.799999,80281
California's 27th,CA-27,Democrat,Democratic,59.4,40.599998,75728,51852,2014,32.5,5.3000002,24.700001,35.400002,0.30000001,85.5,41.900002,73445
California's 27th,CA-27,Democrat,Democratic,100,0,202636,0,2018,32.5,5.3000002,24.700001,35.400002,0.30000001,85.5,41.900002,73445
California's 27th,CA-27,Democrat,Democratic,67.4,32.599998,168977,81655,2016,32.5,5.3000002,24.700001,35.400002,0.30000001,85.5,41.900002,73445
California's 28th,CA-28,Democrat,Democratic,78.4,21.6,196662,54272,2018,62,3.3,19.9,12.2,0.2,87.400002,45.200001,62319
California's 28th,CA-28,Democrat,Democratic,76.5,0,91996,0,2014,62,3.3,19.9,12.2,0.2,87.400002,45.200001,62319
California's 28th,CA-28,Democrat,Democratic,78,22,210883,59526,2016,62,3.3,19.9,12.2,0.2,87.400002,45.200001,62319
California's 29th,CA-29,Democrat,Democratic,74.6,25.4,50096,17045,2014,28.200001,5.4000001,55.700001,9.3000002,0.2,68.900002,19.299999,50823
California's 29th,CA-29,Democrat,Democratic,100,0,171824,0,2016,28.200001,5.4000001,55.700001,9.3000002,0.2,68.900002,19.299999,50823
California's 29th,CA-29,Democrat,Democratic,80.6,19.4,124697,29995,2018,28.200001,5.4000001,55.700001,9.3000002,0.2,68.900002,19.299999,50823
California's 30th,CA-30,Democrat,Democratic,65.6,34.400002,86568,45315,2014,58.700001,5.0999999,22,11.7,0.2,88.400002,42.5,76169
California's 30th,CA-30,Democrat,Democratic,73.4,26.6,191573,69420,2018,58.700001,5.0999999,22,11.7,0.2,88.400002,42.5,76169
California's 30th,CA-30,Democrat,Democratic,72.6,27.4,205279,77325,2016,58.700001,5.0999999,22,11.7,0.2,88.400002,42.5,76169
California's 31st,CA-31,Democrat,Democratic,56.1,43.900002,121070,94866,2016,34.200001,12,44.200001,7.1999998,0.30000001,80,23.5,58167
California's 31st,CA-31,Democrat,Democratic,58.7,41.299999,110143,77352,2018,34.200001,12,44.200001,7.1999998,0.30000001,80,23.5,58167
California's 31st,CA-31,Democrat,Democratic,51.7,48.299999,51622,48162,2014,34.200001,12,44.200001,7.1999998,0.30000001,80,23.5,58167
California's 32nd,CA-32,Democrat,Democratic,68.8,31.200001,121759,55272,2018,21.700001,3.2,54.599998,18.799999,0.40000001,75.099998,21,64151
California's 32nd,CA-32,Democrat,Democratic,59.7,40.299999,50353,34053,2014,21.700001,3.2,54.599998,18.799999,0.40000001,75.099998,21,64151
California's 32nd,CA-32,Democrat,Democratic,100,0,186646,0,2016,21.700001,3.2,54.599998,18.799999,0.40000001,75.099998,21,64151
California's 33rd,CA-33,Democrat,Democratic,59.2,40.799999,108331,74700,2014,70.400002,2.9000001,11.4,12.1,0.1,95.699997,63.900002,103176
California's 33rd,CA-33,Democrat,Democratic,70,30,219091,93769,2018,70.400002,2.9000001,11.4,12.1,0.1,95.699997,63.900002,103176
California's 33rd,CA-33,Democrat,Democratic,66.4,33.599998,219397,110822,2016,70.400002,2.9000001,11.4,12.1,0.1,95.699997,63.900002,103176
California's 34th,CA-34,Democrat,Democratic,100,0,159156,0,2016,17.700001,7.0999999,50.900002,22.4,0.30000001,65.5,25.200001,40215
California's 34th,CA-34,Democrat,Democratic,100,0,61607,0,2014,17.700001,7.0999999,50.900002,22.4,0.30000001,65.5,25.200001,40215
California's 34th,CA-34,Democrat,Democratic,72.5,0,110195,0,2018,17.700001,7.0999999,50.900002,22.4,0.30000001,65.5,25.200001,40215
California's 35th,CA-35,Democrat,Democratic,100,0,62255,0,2014,21.200001,8.3999996,60.5,7.6999998,0.30000001,70.5,15.3,58467
California's 35th,CA-35,Democrat,Democratic,69.4,30.6,103420,45604,2018,21.200001,8.3999996,60.5,7.6999998,0.30000001,70.5,15.3,58467
California's 35th,CA-35,Democrat,Democratic,72.4,27.6,124044,47309,2016,21.200001,8.3999996,60.5,7.6999998,0.30000001,70.5,15.3,58467
California's 36th,CA-36,Democrat,Democratic,59,41,122169,84839,2018,54.599998,4.6999998,35.299999,3.0999999,0.69999999,80,20.799999,46772
California's 36th,CA-36,Democrat,Democratic,54.2,45.799999,72682,61457,2014,54.599998,4.6999998,35.299999,3.0999999,0.69999999,80,20.799999,46772
California's 36th,CA-36,Democrat,Democratic,62.1,37.900002,144348,88269,2016,54.599998,4.6999998,35.299999,3.0999999,0.69999999,80,20.799999,46772
California's 37th,CA-37,Democrat,Democratic,84.3,15.7,96787,18051,2014,32.099998,29,26.4,9.8000002,0.2,80.300003,37.799999,54063
California's 37th,CA-37,Democrat,Democratic,100,0,237272,0,2016,32.099998,29,26.4,9.8000002,0.2,80.300003,37.799999,54063
California's 37th,CA-37,Democrat,Democratic,89.1,10.9,210555,25823,2018,32.099998,29,26.4,9.8000002,0.2,80.300003,37.799999,54063
California's 38th,CA-38,Democrat,Democratic,59.1,40.900002,58192,40288,2014,22.299999,4.3000002,55.700001,16.200001,0.40000001,79.300003,22.5,65963
California's 38th,CA-38,Democrat,Democratic,70.5,29.5,163590,68524,2016,22.299999,4.3000002,55.700001,16.200001,0.40000001,79.300003,22.5,65963
California's 38th,CA-38,Democrat,Democratic,68.9,31.1,139188,62968,2018,22.299999,4.3000002,55.700001,16.200001,0.40000001,79.300003,22.5,65963
California's 39th,CA-39,Endorsed Trump,Republican,42.8,57.200001,112679,150777,2016,38.200001,2.7,27.9,29.1,0.2,88.800003,41.099998,85147
California's 39th,CA-39,Endorsed Trump,Republican,31.5,68.5,41906,91319,2014,38.200001,2.7,27.9,29.1,0.2,88.800003,41.099998,85147
California's 39th,CA-39,Endorsed Trump,Democratic,51.6,48.400002,126002,118391,2018,38.200001,2.7,27.9,29.1,0.2,88.800003,41.099998,85147
California's 40th,CA-40,Democrat,Democratic,77.3,0,93938,0,2018,8.3000002,7.5999999,79.5,3.8,0.30000001,53.700001,9.5,43499
California's 40th,CA-40,Democrat,Democratic,71.4,0,106554,0,2016,8.3000002,7.5999999,79.5,3.8,0.30000001,53.700001,9.5,43499
California's 40th,CA-40,Democrat,Democratic,100,0,49379,0,2014,8.3000002,7.5999999,79.5,3.8,0.30000001,53.700001,9.5,43499
California's 41st,CA-41,Democrat,Democratic,65,35,128164,69159,2016,32.200001,11,48.299999,6.3000002,0.40000001,75.099998,17,60629
California's 41st,CA-41,Democrat,Democratic,56.6,43.400002,46948,35936,2014,32.200001,11,48.299999,6.3000002,0.40000001,75.099998,17,60629
California's 41st,CA-41,Democrat,Democratic,65.1,34.900002,108227,58021,2018,32.200001,11,48.299999,6.3000002,0.40000001,75.099998,17,60629
